ncm;nac;imp;est;mun
0423;13.45;15.45;0.00;2.81
0501;13.45;15.45;0.00;2.85
05010000;13.45;20.15;18.00;0.00
0502;13.45;15.45;0.00;2.89
05021011;13.45;20.15;18.00;0.00
05021019;13.45;20.15;18.00;0.00
05021090;13.45;20.15;18.00;0.00
05029010;13.45;20.15;18.00;0.00
05029020;13.45;20.15;18.00;0.00
0503;13.45;15.45;0.00;2.89
0504;13.45;15.45;0.00;2.98
05040011;13.45;20.15;18.00;0.00
05040012;13.45;20.15;18.00;0.00
05040013;13.45;20.15;18.00;0.00
05040019;13.45;20.15;18.00;0.00
05040090;13.45;17.88;18.00;0.00
0505;13.45;15.45;0.00;2.89
05051000;13.45;20.15;18.00;0.00
05059000;13.45;20.15;18.00;0.00
0506;13.45;15.45;0.00;2.89
05061000;13.45;20.15;18.00;0.00
05069000;13.45;20.15;18.00;0.00
0507;13.45;15.45;0.00;2.89
05071000;13.45;20.15;18.00;0.00
05079000;13.45;20.15;18.00;0.00
0508;13.45;15.45;0.00;2.89
05080000;13.45;20.15;18.00;0.00
0509;13.45;15.45;0.00;2.94
05100010;13.45;15.45;18.00;0.00
05100090;13.45;15.45;18.00;0.00
05111000;13.45;15.45;18.00;0.00
05119110;13.45;15.45;18.00;0.00
05119190;13.45;20.15;18.00;0.00
05119910;13.45;15.45;18.00;0.00
05119920;13.45;15.45;18.00;0.00
05119930;13.45;15.45;18.00;0.00
05119991;13.45;20.15;18.00;0.00
05119999;13.45;20.15;18.00;0.00
0601;13.45;15.45;0.00;2.85
06011000;13.45;15.45;18.00;0.00
06012000;13.45;15.45;18.00;0.00
0602;13.45;15.45;0.00;2.91
06021000;13.45;15.45;18.00;0.00
06022000;13.45;15.45;18.00;0.00
06023000;13.45;15.45;18.00;0.00
06024000;13.45;15.45;18.00;0.00
06029010;13.45;15.45;18.00;0.00
06029021;13.45;15.45;18.00;0.00
06029029;13.45;15.45;18.00;0.00
06029081;13.45;15.45;18.00;0.00
06029082;13.45;15.45;18.00;0.00
06029083;13.45;15.45;18.00;0.00
06029089;13.45;15.45;18.00;0.00
06029090;13.45;15.45;18.00;0.00
0603;13.45;15.45;0.00;3.06
06031100;13.45;21.23;7.00;0.00
06031200;13.45;21.23;7.00;0.00
06031300;13.45;21.23;7.00;0.00
06031400;13.45;21.23;7.00;0.00
06031500;13.45;21.23;7.00;0.00
06031900;13.45;21.23;7.00;0.00
06039000;13.45;21.23;7.00;0.00
0604;13.45;15.45;0.00;2.86
06042000;13.45;20.15;7.00;0.00
06049000;13.45;20.15;7.00;0.00
0605;13.45;15.45;0.00;3.06
0701;13.45;15.45;0.00;3.12
07011000;13.45;15.45;18.00;0.00
07019000;13.45;21.23;18.00;0.00
0702;13.45;15.45;0.00;2.81
07020000;13.45;21.23;18.00;0.00
0703;13.45;15.45;0.00;2.83
07031011;13.45;15.45;18.00;0.00
07031019;13.45;21.23;18.00;0.00
07031021;13.45;15.45;18.00;0.00
07031029;13.45;21.23;18.00;0.00
07032010;13.45;15.45;18.00;0.00
07032090;13.45;33.60;18.00;0.00
07039010;13.45;15.45;18.00;0.00
07039090;13.45;21.23;18.00;0.00
0704;13.45;15.45;0.00;2.90
07041000;13.45;21.23;18.00;0.00
07042000;13.45;21.23;18.00;0.00
07049000;13.45;21.23;18.00;0.00
0705;13.45;15.45;0.00;2.81
07051100;13.45;21.23;18.00;0.00
07051900;13.45;21.23;18.00;0.00
07052100;13.45;21.23;18.00;0.00
07052900;13.45;21.23;18.00;0.00
0706;13.45;15.45;0.00;3.02
07061000;13.45;21.23;18.00;0.00
07069000;13.45;21.23;18.00;0.00
0707;13.45;15.45;0.00;3.16
07070000;13.45;21.23;18.00;0.00
0708;13.45;15.45;0.00;3.24
